Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",SH.DYN.NCOM.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.6,31.7,31.1,30.8,30.5,30.4,30.2,29.7,29.4,28.8,28.3,27.8,27.4,27.1,26.9,26.8,26.7,26.7,26.8,26.8,..,..,..
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",SH.DYN.NCOM.FE.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.7,28.6,28.1,27.6,27.2,27,26.6,26.1,25.7,25.1,24.6,24.2,23.8,23.5,23.3,23.1,23,22.9,22.8,22.7,..,..,..
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",SH.DYN.NCOM.MA.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34.8,35,34.4,34.3,34.2,34.2,34.2,33.7,33.4,32.8,32.3,31.8,31.3,31,30.8,30.7,30.5,30.6,30.8,30.9,..,..,..
"Mortality rate attributed to household and ambient air pollution (per 100,000 population)",SH.STA.AIRP.P5,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,195.3,..,..,..
"Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population)",SH.STA.AIRP.FE.P5,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,169,..,..,..
"Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population)",SH.STA.AIRP.MA.P5,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,226.3,..,..,..
"Mortality rate attributed to unintentional poisoning (per 100,000 population)",SH.STA.POIS.P5,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.5,1.4,1.4,1.3,1.2,1.1,1.1,1,1.1,1.1,1,1,0.9,0.9,0.7,0.6,0.6,0.6,0.6,0.6,..,..,..
"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",SH.STA.POIS.P5.FE,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.3,1.3,1.2,1.1,1,1,0.9,0.8,1,0.9,0.9,0.8,0.8,0.7,0.5,0.5,0.5,0.5,0.4,0.4,..,..,..
"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",SH.STA.POIS.P5.MA,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.6,1.6,1.6,1.5,1.3,1.3,1.3,1.2,1.3,1.2,1.2,1.1,1.1,1,0.8,0.8,0.8,0.8,0.7,0.7,..,..,..
"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",SH.STA.WASH.P5,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.5,..,..,..
"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene, female (per 100,000 female population)",SH.STA.WASH.FE.P5,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.7,..,..,..
"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene, male (per 100,000 male population)",SH.STA.WASH.MA.P5,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.4,..,..,..
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Lao PDR,LAO,424.656,420.199,413.46,414.437,410.436,404.369,405.83,401.975,396.297,397.358,393.604,388.257,389.325,387.368,387.325,381.755,387.308,381.972,378.397,372.752,361.569,354.435,348.93,343.168,336.072,330.133,323.347,318.676,310.585,303.823,299.57,292.48,287.053,282.842,281.919,275.111,270.336,266.087,263.348,268.298,261.537,251.002,245.805,237.108,234.913,225.562,219.615,212.995,211.729,200.282,191.357,187.065,176.96,174.88,163.304,162.434,154.115,154.393,154.156,145.472,139.036,147.601,..
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,Lao PDR,LAO,499.78,499.198,462.717,514.891,511.745,506.756,507.47,500.397,497.143,494.189,489.628,483.662,478.949,477.372,427.62,423.993,436.133,431.465,431.55,418.5,396.982,389.723,378.945,374.209,368.885,363.043,356.971,354.802,351.558,349.486,346.425,335.405,332.22,328.955,328.23,322.621,318.715,318.703,317.258,314.761,310.79,303.85,300.798,300.196,302.436,294.408,289.918,282.462,272.688,266.781,257.345,239.695,234.362,229.475,224.069,219.611,215.175,210.499,207.05,202.966,194.231,201.753,..
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,145.8,141.9,138.3,134.7,131.2,128,124.8,121.6,118.5,115.5,112.3,109.2,106,102.9,99.7,96.4,93.3,90.3,87.4,84.6,81.8,79.2,76.6,74,71.3,68.7,66.1,63.6,61.1,58.6,56.2,54,51.8,49.7,47.7,45.7,43.8,42.1,40.5,39.1,37.7,36.6,35.4,34.2,..
"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,135.4,131.9,128.4,125.1,121.9,118.6,115.4,112.3,109.1,106.1,103,99.9,96.7,93.5,90.4,87.3,84.4,81.5,78.8,76.1,73.5,70.8,68.3,65.8,63.2,60.8,58.5,56.2,54,51.9,49.7,47.7,45.7,43.9,42,40.3,38.6,37,35.6,34.4,33.3,32.1,31,30,..
"Mortality rate, infant, male (per 1,000 live births)",SP.DYN.IMRT.MA.IN,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,155.3,151.3,147.5,143.8,140.3,136.9,133.7,130.5,127.5,124.3,121.2,118.1,114.8,111.7,108.4,105.2,101.9,98.7,95.6,92.6,89.8,87.1,84.4,81.7,79,76.2,73.4,70.5,67.7,65,62.5,59.9,57.5,55.2,53,50.8,48.8,46.9,45.2,43.5,42,40.6,39.4,38.1,..
"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,54.3,53.5,52.7,51.9,51.2,50.4,49.6,48.6,47.5,46.5,45.6,44.6,43.7,42.8,41.9,41,40.2,39.2,38.3,37.4,36.5,35.6,34.6,33.6,32.7,31.7,30.7,29.8,28.8,28,27.1,26.2,25.4,24.6,23.9,23.3,22.7,22.1,21.6,21,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,218.2,211.9,206.1,200.4,194.9,189.7,184.6,179.6,174.5,169.5,164.4,159.2,154.1,148.9,143.8,138.6,133.7,128.9,124.3,119.9,115.6,111.4,107.3,103.1,99,94.9,90.8,86.8,82.9,79,75.3,71.7,68.3,65,62,59,56.2,53.7,51.5,49.4,47.5,45.8,44.1,42.5,..
"Mortality rate, under-5, female (per 1,000)",SH.DYN.MORT.FE,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,208.1,202.5,196.8,191.2,185.9,180.8,175.7,170.7,165.6,160.5,155.3,150.2,145,139.8,134.7,129.7,124.9,120.2,115.7,111.4,107.2,103,98.9,94.8,90.8,86.9,83,79.3,75.5,72,68.5,65.1,61.9,58.8,55.9,53.1,50.5,48.2,46,44.3,42.5,40.9,39.3,37.8,..
"Mortality rate, under-5, male (per 1,000)",SH.DYN.MORT.MA,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,227.1,220.8,214.9,209.1,203.7,198.4,193.2,188.2,183.2,178.1,172.9,167.8,162.6,157.4,152.3,147.1,142.1,137.2,132.5,127.9,123.5,119.3,115.2,111,106.7,102.5,98.2,93.9,89.8,85.7,81.8,78,74.4,71,67.7,64.6,61.7,59,56.6,54.3,52.2,50.4,48.7,46.9,..
Net migration,SM.POP.NETM,Lao PDR,LAO,0,0,0,0,0,0,0,0,0,0,0,0,0,-787,-6000,-13881,-21767,-26952,-27256,-23358,-17366,-11080,-6191,-4105,-2698,-1388,-485,0,-88,-1288,-3100,-5393,-7501,-9394,-11792,-14290,-16589,-32327,-34039,-36679,-34009,-33600,-33635,-36615,-40174,-24171,-24639,-26808,-27282,-27999,-27446,-27661,-26451,-25256,-25666,-12995,-11401,-10400,-10303,-10303,-10303,-10303,-9999
Newborns protected against tetanus (%),SH.VAC.TTNS.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,4,7,7,6,12,16,22,30,40,44,43,45,46,48,58,52,53,54,51,50,52,47,47,47,80,80,80,90,90,90,90,90,90,90,93,93,..
Number of deaths ages 10-14 years,SH.DTH.1014,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1164,1167,1175,1182,1194,1207,1223,1239,1245,1253,1260,1267,1272,1270,1256,1228,1181,1130,1080,1038,999,959,918,873,827,783,748,721,699,680,660,640,..
"Number of deaths ages 10-14 years, female",SH.DTH.1014.FE,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,579,578,581,584,588,593,599,606,608,610,611,611,609,604,593,578,556,532,509,488,467,446,423,399,376,352,333,318,305,294,283,272,..
"Number of deaths ages 10-14 years, male",SH.DTH.1014.MA,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,585,589,594,598,606,614,624,633,637,643,649,656,663,666,663,650,625,598,571,550,532,513,495,474,451,431,415,403,394,386,377,368,..
Number of deaths ages 10-19 years,SH.DTH.1019,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2589,2609,2642,2676,2716,2756,2803,2849,2870,2896,2917,2933,2941,2932,2903,2849,2756,2640,2518,2382,2245,2102,1963,1828,1704,1601,1523,1463,1415,1368,1327,1289,..
"Number of deaths ages 10-19 years, female",SH.DTH.1019.FE,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1283,1293,1309,1332,1353,1379,1407,1438,1445,1456,1458,1456,1452,1437,1406,1361,1300,1223,1149,1071,997,926,858,794,737,682,642,612,587,564,544,525,..
"Number of deaths ages 10-19 years, male",SH.DTH.1019.MA,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1306,1316,1333,1344,1363,1377,1396,1411,1425,1440,1459,1477,1489,1495,1497,1488,1456,1417,1369,1311,1248,1176,1105,1034,967,919,881,851,828,804,783,764,..
Number of deaths ages 15-19 years,SH.DTH.1519,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1425,1442,1467,1494,1522,1549,1580,1610,1625,1643,1657,1666,1669,1662,1647,1621,1575,1510,1438,1344,1246,1143,1045,955,877,818,775,742,716,688,667,649,..
"Number of deaths ages 15-19 years, female",SH.DTH.1519.FE,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,704,715,728,748,765,786,808,832,837,846,847,845,843,833,813,783,744,691,640,583,530,480,435,395,361,330,309,294,282,270,261,253,..
"Number of deaths ages 15-19 years, male",SH.DTH.1519.MA,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,721,727,739,746,757,763,772,778,788,797,810,821,826,829,834,838,831,819,798,761,716,663,610,560,516,488,466,448,434,418,406,396,..
Number of deaths ages 20-24 years,SH.DTH.2024,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,984,1011,1034,1053,1081,1107,1128,1143,1147,1144,1148,1155,1164,1174,1185,1195,1210,1223,1233,1237,1234,1222,1200,1167,1129,1094,1074,1062,1061,1052,1049,1042,..
"Number of deaths ages 20-24 years, female",SH.DTH.2024.FE,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,344,362,379,392,413,432,448,464,470,466,471,477,483,493,499,506,511,514,519,521,522,518,513,503,493,474,463,454,450,445,441,438,..
"Number of deaths ages 20-24 years, male",SH.DTH.2024.MA,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,640,649,655,661,668,675,680,679,677,678,677,678,681,681,686,689,699,709,714,716,712,704,687,664,636,620,611,608,611,607,608,604,..
Number of deaths ages 5-9 years,SH.DTH.0509,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3863,3712,3574,3430,3288,3148,3017,2882,2742,2597,2438,2266,2091,1921,1760,1617,1484,1356,1232,1113,1003,903,817,739,669,605,548,501,463,433,410,391,..
"Number of deaths ages 5-9 years, female",SH.DTH.0509.FE,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1844,1776,1712,1644,1576,1509,1446,1383,1314,1241,1161,1077,992,914,839,768,703,639,577,517,460,408,363,323,287,256,229,207,190,176,165,157,..
"Number of deaths ages 5-9 years, male",SH.DTH.0509.MA,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2019,1936,1862,1786,1712,1639,1571,1499,1428,1356,1277,1189,1099,1007,921,849,781,717,655,596,543,495,454,416,382,349,319,294,273,257,245,234,..
Number of infant deaths,SH.DTH.IMRT,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19423,19199,19059,19016,19054,19126,19170,19183,19167,19101,19020,18899,18726,18451,18071,17543,16885,16225,15597,14955,14418,13769,13004,12325,11748,11294,10829,10431,10102,9710,9290,8846,8411,8000,7596,7224,6927,6692,6451,6211,5988,5782,5573,..
"Number of infant deaths, female",SH.DTH.IMRT.FE,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8810,8707,8640,8613,8615,8633,8639,8619,8597,8547,8490,8417,8315,8174,7983,7745,7441,7142,6861,6560,6305,6005,5654,5342,5086,4887,4687,4514,4373,4198,4015,3819,3628,3445,3269,3104,2974,2871,2769,2670,2570,2476,2386,..
"Number of infant deaths, male",SH.DTH.IMRT.MA,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10613,10492,10419,10403,10439,10493,10531,10564,10570,10554,10530,10482,10411,10277,10088,9798,9444,9083,8736,8395,8113,7764,7350,6983,6662,6407,6142,5917,5729,5512,5275,5027,4783,4555,4327,4120,3953,3821,3682,3541,3418,3306,3187,..
Number of maternal deaths,SH.MMR.DTHS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1000,1000,920,880,810,760,720,640,630,570,480,460,410,390,310,310,280,270,270,250,210,..,..
Number of neonatal deaths,SH.DTH.NMRT,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8233,8358,8455,8554,8627,8682,8703,8702,8693,8626,8546,8330,8101,7872,7649,7404,7246,6888,6606,6337,6136,5984,5769,5666,5532,5345,5162,4941,4761,4554,4375,4205,4088,3978,3870,3749,3637,3548,3434,..
Number of people pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure,SH.UHC.NOP1.TO,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Number of people pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure,SH.UHC.NOP2.TO,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Number of people pushed further below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure,SH.UHC.FBP1.TO,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Number of people pushed further below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure,SH.UHC.FBP2.TO,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Number of people pushed or further pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure,SH.UHC.TOT1.TO,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Number of people pushed or further pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure,SH.UHC.TOT2.TO,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Number of people pushed or further pushed below the 60% median consumption poverty line by out-of-pocket health care expenditure,SH.UHC.TOTR.TO,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Number of people spending more than 10% of household consumption or income on out-of-pocket health care expenditure,SH.UHC.OOPC.10.TO,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Number of people spending more than 25% of household consumption or income on out-of-pocket health care expenditure,SH.UHC.OOPC.25.TO,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Number of people who are undernourished,SN.ITK.DEFC,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1700000,1600000,1500000,1400000,1300000,1200000,1200000,1100000,1000000,900000,800000,700000,700000,500000,500000,400000,400000,400000,400000,400000,..,..
Number of stillbirths,SH.DTH.STLB,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4266,4129,3994,3910,3847,3761,3749,3717,3636,3563,3459,3385,3290,3191,3101,3042,2980,2920,2841,2772,2729,2666,..
"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Number of under-five deaths,SH.DTH.MORT,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27843,27830,27810,27757,27664,27500,27304,27046,26723,26284,25724,24997,24108,23173,22244,21274,20406,19438,18348,17332,16418,15626,14854,14178,13594,12976,12342,11693,11062,10457,9872,9326,8882,8515,8161,7825,7516,7227,6939,..
"Number of under-five deaths, female",SH.DTH.MORT.FE,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12921,12897,12871,12822,12760,12664,12548,12410,12234,12013,11734,11391,10972,10534,10103,9642,9222,8763,8252,7778,7353,6990,6638,6321,6052,5768,5477,5176,4887,4606,4340,4088,3887,3718,3566,3413,3275,3140,3011,..
"Number of under-five deaths, male",SH.DTH.MORT.MA,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14922,14933,14939,14935,14904,14836,14756,14636,14489,14271,13990,13606,13136,12639,12141,11632,11184,10675,10096,9554,9065,8636,8216,7857,7542,7208,6865,6517,6175,5851,5532,5238,4995,4797,4595,4412,4241,4087,3928,..
Number of weeks of maternity leave,SH.MMR.LEVE,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,105,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.2566,..,..,..,..,1.0243,..,..,..,0.989,0.9952,..,..,..,0.8656,0.8572,..,0.866,0.9584,1.2787,1.2206,1.263,1.2106,1.1878,..,1.1903,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44.77973938,43.97146606,49.66936493,54.7591362,47.25917816,43.72243881,41.0778656,34.90810394,31.37778854,26.87693977,35.96009445,52.60241318,48.63187027,48.70332336,50.87946701,45.36532593,46.44212341,46.23710632,48.54592896,41.83228683,41.7625351,..,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.3157666,6.3632442,6.41550924,9.64785646,7.68938286,7.59888986,7.91991059,8.66169577,8.41131655,9.61720302,12.43625097,14.28795301,15.81325402,21.21898657,23.20767136,23.65867226,25.31738086,28.48208146,27.84410966,28.36996937,28.52044755,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35.62397218,38.24858448,41.37797571,58.71528479,43.48205879,41.05379772,37.91160707,37.47846478,31.02080372,35.85406734,41.65585345,43.02277371,48.40718064,61.26704557,68.15945784,68.19395794,74.54003856,84.1954594,84.26774492,88.47643852,89.35747803,..,..
People practicing open defecation (% of population),SH.STA.ODFC.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,61.56359536,58.86350429,56.17273117,53.4945482,50.82877866,48.26967607,45.90252336,43.54746542,41.20350225,38.87257293,36.55410643,34.24837425,31.95529158,29.67656094,27.41133278,25.160201,22.92309584,20.70117515,18.49459201,16.65691704,16.48997142,16.32199125,16.15297659
